Partition	Axis	Class	Language_ID	N_Reviewed_Frame_Families	N_Attested_Reviewed	N_Attested_Unreviewed	N_Missing	N_D_No_R	N_R_No_D	N_Mixed_DR	N_Other_No_DR	N_Uncertain_No_DR	N_Other_And_Uncertain_No_DR	N_Borrowed_Only	N_D_Bearing	N_R_Bearing	N_DR_Informative	N_Any_Uncertain	N_Any_Other	N_Any_Borrowed	N_Partially_Reviewed_Families	D_Over_DR	D_Over_Attested_Reviewed	D_Proportion_DR	D_Proportion_Attested_Reviewed
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / alveolar	Mannan	23	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / alveolar	Muduga	23	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / alveolar	Muthuvan	23	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / alveolar	Naiki	23	1	0	22	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / alveolar	Naikri	23	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / alveolar	Paliya	23	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / alveolar	PaluKurumba	23	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / alveolar	Parji	23	4	0	19	0	2	0	0	1	0	1	0	2	2	1	0	1	0	0/2	0/4	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / alveolar	Pengo	23	6	0	17	2	2	0	0	2	0	0	2	2	4	2	0	0	0	2/4	2/6	0.5	0.333333
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / alveolar	Sholaga	23	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / alveolar	Tamil	23	21	0	2	0	21	0	0	0	0	0	0	21	21	1	1	0	0	0/21	0/21	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / alveolar	Telugu	23	20	0	3	2	14	4	0	0	0	0	6	18	20	2	4	0	0	6/20	6/20	0.3	0.3
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / alveolar	Toda	23	7	0	16	0	6	0	1	0	0	0	0	6	6	0	1	0	0	0/6	0/7	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / alveolar	Tulu	23	13	0	10	0	10	0	3	0	0	0	0	10	10	3	7	0	0	0/10	0/13	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / alveolar	Urali	23	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / alveolar	markodi	23	1	0	22	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	AluKurumba	30	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Badaga	30	9	1	20	0	6	0	2	1	0	0	0	6	6	1	3	0	1	0/6	0/9	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Belari	30	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	BettaKurumba	30	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Brahui	30	3	0	27	0	3	0	0	0	0	0	0	3	3	0	0	0	0	0/3	0/3	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Eravallan	30	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Gadaba	30	6	0	24	0	5	0	0	1	0	0	0	5	5	1	0	0	0	0/5	0/6	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Gondi	30	8	0	22	3	3	0	0	1	0	1	3	3	6	1	0	1	0	3/6	3/8	0.5	0.375
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Irula	30	2	0	28	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0/0	0/2		0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Kadar	30	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Kannada	30	23	0	7	0	22	0	0	1	0	0	0	22	22	2	3	0	0	0/22	0/23	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Kodagu	30	6	0	24	0	6	0	0	0	0	0	0	6	6	0	0	0	0	0/6	0/6	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Kolami	30	5	0	25	0	3	0	0	1	0	1	0	3	3	1	0	1	0	0/3	0/5	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Konda	30	8	0	22	4	3	1	0	0	0	0	5	4	8	1	0	1	0	5/8	5/8	0.625	0.625
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Koraga	30	1	0	29	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Kota	30	9	0	21	0	8	0	0	1	0	0	0	8	8	1	0	0	0	0/8	0/9	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Kudiya	30	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Kui	30	8	0	22	3	1	1	0	3	0	0	4	2	5	4	0	0	0	4/5	4/8	0.8	0.5
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Kurumba	30	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Kurux	30	3	0	27	0	2	0	0	1	0	0	0	2	2	3	0	0	0	0/2	0/3	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Kuwi	30	6	0	24	4	1	0	0	1	0	0	4	1	5	2	0	0	0	4/5	4/6	0.8	0.666667
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	MalaMalasar	30	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	MalaPulaya	30	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Malasar	30	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Malayalam	30	22	0	8	0	22	0	0	0	0	0	0	22	22	1	1	0	0	0/22	0/22	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Malto	30	2	0	28	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0/1	0/2	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Manda	30	3	0	27	2	0	0	0	1	0	0	2	0	2	1	0	0	0	2/2	2/3	1.0	0.666667
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Mannan	30	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Muduga	30	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Muthuvan	30	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Naiki	30	1	0	29	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Naikri	30	3	0	27	0	2	0	0	0	0	1	0	2	2	0	0	1	0	0/2	0/3	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Paliya	30	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	PaluKurumba	30	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Parji	30	9	0	21	0	7	0	0	2	0	0	0	7	7	2	0	0	0	0/7	0/9	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Pengo	30	4	0	26	3	0	0	0	1	0	0	3	0	3	1	0	0	0	3/3	3/4	1.0	0.75
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Sholaga	30	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Tamil	30	24	0	6	0	22	0	0	1	0	1	0	22	22	1	2	1	0	0/22	0/24	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Telugu	30	27	0	3	2	18	3	0	3	1	0	5	21	23	6	1	1	0	5/23	5/27	0.217391	0.185185
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Toda	30	9	0	21	0	6	0	1	2	0	0	0	6	6	2	1	0	0	0/6	0/9	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Tulu	30	12	0	18	0	12	0	0	0	0	0	0	12	12	2	3	0	0	0/12	0/12	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	Urali	30	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / lateral	markodi	30	1	0	29	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	AluKurumba	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Badaga	3	2	0	1	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0/0	0/2		0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Belari	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	BettaKurumba	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Brahui	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Eravallan	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Gadaba	3	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0/0	0/1		0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Gondi	3	2	0	1	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0/1	0/2	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Irula	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Kadar	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Kannada	3	3	0	0	0	3	0	0	0	0	0	0	3	3	1	1	1	0	0/3	0/3	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Kodagu	3	1	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0/0	0/1		0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Kolami	3	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0/0	0/1		0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Konda	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Koraga	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Kota	3	1	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0/0	0/1		0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Kudiya	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Kui	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Kurumba	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Kurux	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Kuwi	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	MalaMalasar	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	MalaPulaya	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Malasar	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Malayalam	3	1	0	2	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0/1	0/1	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Malto	3	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0/0	0/1		0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Manda	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Mannan	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Muduga	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Muthuvan	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Naiki	3	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0/0	0/1		0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Naikri	3	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0/0	0/1		0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Paliya	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	PaluKurumba	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Parji	3	1	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0/0	0/1		0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Pengo	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Sholaga	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Tamil	3	1	0	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Telugu	3	3	0	0	1	1	0	1	0	0	0	1	1	2	0	1	0	0	1/2	1/3	0.5	0.333333
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Toda	3	1	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0/0	0/1		0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Tulu	3	1	0	2	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0/1	0/1	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	Urali	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / mixed-apical	markodi	3	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	AluKurumba	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Badaga	13	7	0	6	0	5	0	2	0	0	0	0	5	5	1	5	0	0	0/5	0/7	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Belari	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	BettaKurumba	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Brahui	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Eravallan	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Gadaba	13	7	1	5	0	4	0	0	3	0	0	0	4	4	3	0	0	1	0/4	0/7	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Gondi	13	8	0	5	2	4	0	0	1	0	1	2	4	6	5	1	1	0	2/6	2/8	0.333333	0.25
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Irula	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Kadar	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Kannada	13	10	0	3	0	9	0	0	1	0	0	0	9	9	2	4	1	0	0/9	0/10	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Kodagu	13	3	0	10	0	2	0	1	0	0	0	0	2	2	0	2	0	0	0/2	0/3	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Kolami	13	7	0	6	0	3	0	0	2	0	2	0	3	3	2	0	2	0	0/3	0/7	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Konda	13	6	0	7	4	1	0	0	1	0	0	4	1	5	2	0	0	0	4/5	4/6	0.8	0.666667
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Koraga	13	1	0	12	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0/0	0/1		0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Kota	13	7	0	6	0	4	0	3	0	0	0	0	4	4	1	5	0	0	0/4	0/7	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Kudiya	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Kui	13	5	0	8	3	1	1	0	0	0	0	4	2	5	0	0	0	0	4/5	4/5	0.8	0.8
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Kurumba	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Kurux	13	2	0	11	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0/0	0/2		0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Kuwi	13	5	0	8	4	0	0	0	1	0	0	4	0	4	2	0	0	0	4/4	4/5	1.0	0.8
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	MalaMalasar	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	MalaPulaya	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Malasar	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Malayalam	13	11	0	2	0	11	0	0	0	0	0	0	11	11	0	2	0	0	0/11	0/11	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Malto	13	1	0	12	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0/0	0/1		0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Manda	13	3	0	10	3	0	0	0	0	0	0	3	0	3	0	0	0	0	3/3	3/3	1.0	1.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Mannan	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Muduga	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Muthuvan	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Naiki	13	3	0	10	0	1	0	1	0	0	1	0	1	1	0	1	1	0	0/1	0/3	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Naikri	13	4	0	9	0	3	0	0	0	0	1	0	3	3	0	0	1	0	0/3	0/4	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Paliya	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	PaluKurumba	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Parji	13	7	0	6	0	5	0	0	1	0	1	0	5	5	1	0	2	0	0/5	0/7	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Pengo	13	3	0	10	2	0	1	0	0	0	0	3	1	3	1	0	0	0	3/3	3/3	1.0	1.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Sholaga	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Tamil	13	12	0	1	0	12	0	0	0	0	0	0	12	12	1	0	2	0	0/12	0/12	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Telugu	13	13	0	0	5	2	1	2	3	0	0	6	3	8	4	3	0	0	6/8	6/13	0.75	0.461538
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Toda	13	5	0	8	0	3	0	2	0	0	0	0	3	3	1	2	0	0	0/3	0/5	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Tulu	13	9	0	4	0	9	0	0	0	0	0	0	9	9	4	1	0	0	0/9	0/9	0.0	0.0
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	Urali	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-approximant	markodi	13	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-rhotic	AluKurumba	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
sensitivity	Domain_Apical_Group	short-vowel-initial-singleton-apical / retroflex-rhotic	Badaga	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0/0	0/0		
