head_id,family_id,head,family,rule
11054-2,11054,*liḍḍa,*liṭṭa,explicitly linked numbered CDIAL subhead
11054-3,11054,*liṇḍa-,*liṭṭa,explicitly linked numbered CDIAL subhead
11054-4,11054,*liṇḍara,*liṭṭa,explicitly linked numbered CDIAL subhead
11054-5,11054,*līḍa,*liṭṭa,explicitly linked numbered CDIAL subhead
11054-6,11054,*lēṭṭʰa,*liṭṭa,explicitly linked numbered CDIAL subhead
11054-7,11054,*lēḍḍa-,*liṭṭa,explicitly linked numbered CDIAL subhead
11054-8,11054,*lēṇṭa,*liṭṭa,explicitly linked numbered CDIAL subhead
11054-9,11054,*lēṇḍa,*liṭṭa,explicitly linked numbered CDIAL subhead
11055-2,11055,*liṇḍa-,*liṭṭa,explicitly linked numbered CDIAL subhead
11055-3,11055,*lēḍa,*liṭṭa,explicitly linked numbered CDIAL subhead
11055-4,11055,*lēḍḍa-,*liṭṭa,explicitly linked numbered CDIAL subhead
11055-5,11055,*lēṇṭa,*liṭṭa,explicitly linked numbered CDIAL subhead
11055-6,11055,lēṇḍa,*liṭṭa,explicitly linked numbered CDIAL subhead
11056-10,11056,*lēnda,*litta,explicitly linked numbered CDIAL subhead
11056-11,11056,*lēndara,*litta,explicitly linked numbered CDIAL subhead
11056-2,11056,*littara,*litta,explicitly linked numbered CDIAL subhead
11056-3,11056,*litra,*litta,explicitly linked numbered CDIAL subhead
11056-4,11056,*lidda-,*litta,explicitly linked numbered CDIAL subhead
11056-5,11056,*liddʰara,*litta,explicitly linked numbered CDIAL subhead
11056-6,11056,*lētta,*litta,explicitly linked numbered CDIAL subhead
11056-7,11056,*lēttʰa,*litta,explicitly linked numbered CDIAL subhead
11056-8,11056,*lēdda-,*litta,explicitly linked numbered CDIAL subhead
11056-9,11056,*lēddʰa-,*litta,explicitly linked numbered CDIAL subhead
11057-2,11057,*linda,*lidda,explicitly linked numbered CDIAL subhead
11057-3,11057,*lēdda-,*lidda,explicitly linked numbered CDIAL subhead
11057-4,11057,*lēddʰa-,*lidda,explicitly linked numbered CDIAL subhead
11057-5,11057,*lēnta,*lidda,explicitly linked numbered CDIAL subhead
11057-6,11057,*lēntʰa,*lidda,explicitly linked numbered CDIAL subhead
11063-2,11063,*limba,*libba,explicitly linked numbered CDIAL subhead
11063-3,11063,*lība,*libba,explicitly linked numbered CDIAL subhead
11063-4,11063,*lēbba,*libba,explicitly linked numbered CDIAL subhead
11063-5,11063,*lēbbʰa,*libba,explicitly linked numbered CDIAL subhead
11063-6,11063,*lēbbʰara,*libba,explicitly linked numbered CDIAL subhead
11063-7,11063,*lēmbʰa,*libba,explicitly linked numbered CDIAL subhead
11067-2,11067,liśyatē,*liśati,explicitly linked numbered CDIAL subhead
11067-3,11067,liṣṭa,*liśati,explicitly linked numbered CDIAL subhead
11068-2,11068,*līsa,*lissa,explicitly linked numbered CDIAL subhead
11068-3,11068,*lēssa,*lissa,explicitly linked numbered CDIAL subhead
11069-2,11069,*lēhati,lihati,explicitly linked numbered CDIAL subhead
11071-2,11071,*lēra,*līra,explicitly linked numbered CDIAL subhead
