Child_ID	Parent_ID	Kind	Rank	Pos	Source	Note
f_3jpsht5sirqqg	11168	reflex	1			
f_3jqlxreuhu7m6	2918	reflex	1			
f_3jqxv254n3bee	4287	reflex	1			
f_3jraiuagtav7u	10702	reflex	1			
f_3jsmf6c4sozv4	12583	reflex	1			
f_3jsmqzjkvn3ly	14014	reflex	1			
f_3k6k4xt553v5c	f_t3x3ujp2oye46	variant	1			
f_3keidijv4lz36	12067	reflex	1			
f_3kezpw5evmblg	12774	reflex	1			
f_3kjuqylnzek3w	5060	reflex	1			
f_3kmcmdlqquqp2	4008	reflex	1			
f_3kmr6xjbyls3e	10702	reflex	1			
f_3kouy7yprles6	11616	reflex	1			
f_3kuvrrjzwlgfe	2574	reflex	1			
f_3kv5qe4h4hwck	2445	reflex	1			
