gloss	plural	suffix	plural_stress_from_right	plural_outcome	singulars	singular_stress	singular_ids	plural_id	family_ids	plural_description
tail	lʌmúʈe	-e	2	stress-marked	[]	[]	[]	f_gj4b62d62kwjw	[]	
trunk	ʦuʦúe	-e	2	stress-in-vowel-sequence	"[""ʦuʦúi""]"	[2]	"[""f_slybai4tbahli""]"	f_q4eafqhtk6d2i	[]	
wing; page	pə́:ʈe	-e	2	stress-marked	[]	[]	[]	f_a44c5lv53tgk2	[]	
wolf	úrke	-e	2	stress-marked	"[""úruk""]"	[2]	"[""f_6tbwfj2cfynx6""]"	f_fstlhusnui5ru	[]	
worm ] pl.	krĩ́yẽ	other	2	stress-marked	[]	[]	[]	f_uztoeqkgsdlfe	[]	
young one; small	ʧúɳe	-e	2	stress-marked	[]	[]	[]	f_75hrkwjupiz64	[]	
ankle	khríʦi	-i	2	stress-marked	"[""khríʦ""]"	[1]	"[""f_7vntg2jdger24""]"	f_aqbq6jifkyz6w	[]	
anus	pó:ɳe	-e	2	stress-marked	"[""pó:ɳi""]"	[2]	"[""f_isqtjoraux3xa""]"	f_3kvhyldyyslai	[]	
bald	phaɽáre	-e	2	stress-marked	"[""phaɽáro""]"	[2]	"[""f_biimvw44umdmc""]"	f_z2azbkdxhy2mg	[]	
belly	ɖé:re	-e	2	stress-marked	"[""ɖé:r""]"	[1]	"[""f_ajj5skjuhpcaq""]"	f_ea3knwjq3cnqi	[]	
breast	máme	-e	2	stress-marked	[]	[]	[]	f_uvmx3zm3y3qd4	[]	
calf of the leg.; muscle	pí:ɳye	-e	2	stress-marked	[]	[]	[]	f_jzvv6odyl747y	[]	
canine tooth	muʈʂínedóni	-i		multiple-stress	"[""muʈʂínodón""]"	"[""""]"	"[""f_woujpm54hlq6o""]"	f_hygx4v3t2y46o	[]	
chest	kroe	-e		unmarked	"[""kro:""]"	"[""""]"	"[""f_nni55bol224xu""]"	f_coaz5t6axpw66	[]	
corpse	kúɳe	-e	2	stress-marked	"[""kúɳo""]"	[2]	"[""f_ifgxd7mdvpqcq""]"	f_ouq5wx2e43e7k	[]	
cough	khú:zye	-e	2	stress-marked	"[""khú:zi""]"	[2]	"[""f_ef4kwqgmkm4zm""]"	f_p333bxyu5eeiq	[]	
elbow	bʌkhúɳe	-e	2	stress-marked	"[""bʌkhúɳi""]"	[2]	"[""f_jfm5olokiawia""]"	f_eaxpkla3vefuk	"[""2757""]"	
eye	ʌʈʂé:	other	1	stress-marked	"[""ʌʈʂí:""]"	[1]	"[""f_ngiuxmsdr6xci""]"	f_ta26dfceqqad2	[]	
eye brow	ʌʈʂé:gále	-e		multiple-stress	"[""ʌʈʂó:gálo""]"	"[""""]"	"[""f_b2ilpyzepisrw""]"	f_oe3r7xe577tgq	[]	
eye lid	ʌ́ʈʂepó:ʈʂe	-e		multiple-stress	[]	[]	[]	f_xp42gtfhtdf5e	[]	
finger ] sg.	ʌŋṹẽ	other	2	stress-in-vowel-sequence	"[""ʌŋṹ""]"	[1]	"[""f_kd236gsnryim4""]"	f_xdpittxbbpdjo	[]	
forehead	yó:ŋe	-e	2	stress-marked	"[""yó:ŋ""]"	[1]	"[""f_uwdg223ryr4lw""]"	f_rura556t6blgo	[]	
guts	ʔṍʐi	-i	2	stress-marked	"[""ʔṍʂ""]"	[1]	"[""f_v3dw6rvfivfx6""]"	f_ihegj7pvhli32	[]	
hair	ʒʌkúe	-e	2	stress-in-vowel-sequence	"[""ʒʌkú:""]"	[1]	"[""f_ggio5k2yobqcm""]"	f_oippb7re36326	[]	
head	ʂíʐe	-e	2	stress-marked	"[""ʂíʂ""]"	[1]	"[""f_23svgfvh74tuu""]"	f_tc55mtuopm7me	[]	
